MemberID|FirstName|LastName|Username|SocietyID|Role
1|Judith|King|starbreeze10|12|member
2|Roger|Nichols|grapefruitsnowstorm10|5|member
3|Alexander|Harris|lemonrain8|19|member
4|Roger|Lawrence|macadamiaturtle6|42|member
5|Nancy|Foster|raspberryslush7|24|member
6|Louis|Davis|chestnuttiger17|60|member
7|Christine|Fields|kiwirainbow6|6|member
8|Brian|Griffin|cherrygust18|2|member
9|Benjamin|Warren|earthquake14|38|member
10|Sean|Welch|volcanocloud8|69|member
11|Virginia|Wagner|seastorm20|71|member
12|Catherine|Clark|grapefruitsunshine2|78|member
13|William|Rivera|raspberryslush5|24|member
14|Pamela|Wood|grapefruitsnowstorm7|61|member
15|Kathy|Wells|oceanrain19|8|member
16|Patricia|Carpenter|cantaloupestorm19|51|member
17|Brandon|Nelson|rosebreeze1|21|member
18|Carolyn|Wagner|watermelon19|61|member
19|Joshua|Kennedy|orangeice13|19|member
20|Harry|Reid|mooncloud1|6|member
21|Angela|Harvey|orangestorm5|6|member
22|Brandon|Holland|applebreeze16|1|member
23|Darlene|Burns|pearlwind9|19|member
24|Michelle|Stone|applecat16|43|member
25|Stephanie|Riley|pineapple3|76|member
26|Jennifer|Mills|pineapple16|68|member
27|Edward|Morales|grapewater5|55|member
28|Justin|Stanley|grapewater13|16|member
29|Christian|Romero|oceanrain11|18|member
30|Edna|Lopez|oceanwind15|71|member
31|Donald|Alvarez|cashewhurricane6|53|member
32|Stephen|Payne|appleblizzard13|36|member
33|Walter|Fisher|apricotgale8|12|member
34|Maria|White|macadamialion4|53|member
35|Kimberly|Fuller|sealstorm20|68|member
36|Nicole|Cruz|eaglestorm10|60|member
37|Laurie|Burns|thunderstorm8|59|member
38|Susan|Fisher|kiwirain1|21|member
39|Edna|Mitchell|coconutfrost19|75|member
40|Emma|Rice|peachlion13|13|member
41|Albert|Boyd|orangesunshine19|51|member
42|Stephanie|Taylor|hurricanebreeze11|80|member
43|Jessica|Jenkins|tigerice5|80|member
44|Margaret|Knight|starlight6|68|member
45|Donald|Bailey|deerbreeze5|48|member
46|Crystal|Campbell|moonwind8|16|member
47|Raymond|Dunn|avocadosnowflake20|14|member
48|Roy|Cooper|pineapplehurricane13|56|member
49|Christopher|Mitchell|hazelnutsatellite16|58|member
50|Christian|Owens|cantaloupegiraffe4|32|member
51|Dorothy|Romero|thundercloud18|53|member
52|Catherine|Smith|pineapple11|27|member
53|Kathy|Reid|figsnow4|30|member
54|Bryan|Simmons|peachthunder4|11|member
55|Christopher|Watson|thundercloud4|55|member
56|Deborah|Brown|pineapple2|52|member
57|Joshua|Young|snakelightning13|37|member
58|Sara|Wilson|raspberrysnake15|28|member
59|Albert|Lewis|avocadosnowflake16|36|member
60|George|Ferguson|almondmoonlight7|48|member
61|Samuel|Long|plumtiger17|31|member
62|Benjamin|Gonzales|pearlwind15|65|member
63|Pamela|Ross|dragonfruitblizzard18|64|member
64|Martha|Spencer|limelightning3|69|member
65|Amy|Hughes|hazelnutsunshine15|73|member
66|Linda|Gonzales|cherrycloud11|76|member
67|Patrick|Burke|dragonfruitsunrise10|62|member
68|Olga|Castillo|lemondeer8|17|member
69|Maria|Anderson|whalestorm5|28|member
70|Darlene|Holmes|lemonthunderstorm20|61|member
71|Sharon|Dean|apricotgale10|54|member
72|Gregory|Gonzales|kiwilightning4|76|member
73|Brandon|Davis|melonbreeze8|36|member
74|Billy|Sanders|sunglow15|49|member
75|Brenda|Harrison|sunlight11|54|member
76|Brian|Fowler|watermelonzebra13|13|member
77|Diane|Ray|hurricaneice11|22|member
78|Barbara|Mitchell|coconutblizzard3|55|member
79|Terri|Bell|sunshine20|39|member
80|Maria|Stevens|kiwilightning2|44|member
81|Donna|Murray|zebraice9|64|member
82|Karen|Butler|thunderstorm20|32|member
83|Linda|Watson|sealsnow1|76|member
84|Frances|Simmons|volcanocloud13|44|member
85|Sean|Torres|lemonsleet6|18|member
86|Anne|Kelly|grapefruitsunshine4|45|member
87|Roger|Schmidt|earthquakelightning8|53|member
88|Larry|Freeman|hazelnutsunshine19|13|member
89|Brenda|Oliver|tigerstorm2|27|member
90|Maria|Simmons|cashewraccoon15|14|member
91|Martha|Gordon|volcanobreeze5|42|member
92|Richard|Lewis|mooncloud2|29|member
93|Melissa|Gibson|pineapplestorm17|60|member
94|Edward|Bryant|almondmoonlight2|50|
95|Teresa|Gonzales|chestnutkangaroo10|1|member
96|Carol|Jones|kiwilightning9|80|member
97|Emily|Burke|lemonhailstorm9|12|member
98|Maria|Sanchez|thundercloud20|56|member
99|Scott|Reyes|rabbitbreeze15|47|member
