Member ID|First Name|Last Name|Username|Society ID|Role
6435|Benjamin|Lewis|cashewraccoon5|1|officer
7690|Michelle|Fernandez|chestnutmeteor9|2|officer
1689|Patricia|Lynch|pistachiofox14|3|officer
277|Karen|Murphy|pineapple12|4|officer
8629|Bruce|Meyer|applesnow4|5|officer
10326|Shirley|Perez|dragonwater19|6|officer
5604|Michelle|Oliver|zebralight8|7|officer
11308|Rebecca|Freeman|cherrygust15|8|officer
8077|Wayne|Banks|apricotgale7|9|officer
1045|Zachary|Medina|firewind2|10|officer
14634|Louis|Mills|orangestorm2|11|officer
5132|Barbara|Nelson|snowleopard13|12|officer
8847|Terri|Parker|hazelnutgust1|13|officer
2691|Eugene|Martinez|peachstorm15|14|officer
3752|Arthur|Flores|waterbreeze13|15|officer
10049|Arthur|Austin|lavafrost14|16|officer
1361|Carol|Sanders|sunlight9|17|officer
85|Sean|Torres|lemonsleet6|18|officer
3431|Kenneth|Watkins|cashewhurricane1|19|officer
2797|Nicole|Garza|lemonthunder4|20|officer
4934|Ethan|Dunn|cantaloupefrost11|21|officer
1299|Wayne|Carr|applecat14|22|officer
2237|Jason|Mitchell|pecangale17|23|officer
619|Ashley|Holmes|avocadohurricane8|24|officer
2073|Olga|Harper|bananadog5|25|officer
2364|Joshua|Bennett|pistachiosunshine5|26|officer
4989|Larry|Medina|zebrabreeze8|27|officer
644|Sandra|Franklin|coconutblizzard2|28|officer
3865|Thomas|Collins|pistachiosunshine16|29|officer
8552|Scott|Hamilton|sunrise12|30|officer
16385|Anne|Hicks|hazelnutpanther4|31|officer
4400|Ashley|Hughes|peachstorm5|32|officer
1666|Carol|Carr|pistachiofox17|33|officer
151|Benjamin|Gonzalez|chestnutrainbow17|34|officer
7785|Alan|Gonzales|almondcat19|35|officer
732|Raymond|Moore|cantaloupegale13|36|officer
16455|Margaret|Miller|snowstorm2|37|officer
1588|Tyler|Jenkins|macadamiastorm19|38|officer
2719|Donna|Brewer|apricotgale18|39|officer
15118|Arthur|Morris|grapefruitsunshine5|40|officer
2132|Vicki|Patterson|pineapple14|41|officer
2887|Daniel|Ramirez|cloudyday4|42|officer
3446|Joan|Lane|pistachiostorm12|43|officer
5647|Harold|Long|wolfwind18|44|officer
3359|Carolyn|Knight|pistachiosunshine15|45|officer
142|Michelle|Price|melonwind4|46|officer
333|Brian|Hudson|grapefruitsnowstorm5|47|officer
5771|Ronald|Rice|wolfthunder17|48|officer
3711|Jonathan|Kelly|tigerbreeze13|49|officer
1848|Albert|Lopez|apricotmoonshine10|50|officer
3881|William|Walker|snowywind2|51|officer
4342|Nathan|Robertson|orangehurricane9|52|officer
31|Donald|Alvarez|cashewhurricane6|53|officer
1927|Sara|Burke|pearlsnow19|54|officer
5502|Mary|White|rosebreeze9|55|officer
4202|Samuel|Mccoy|pearlwind6|56|officer
14053|Olga|Holmes|kiwirain17|57|officer
2991|Brenda|Rivera|zebrarain12|58|officer
10238|Betty|Cooper|rabbitthunder9|59|officer
416|Gary|Fisher|walnutblizzard12|60|officer
4216|Raymond|Willis|grapefruitsnowstorm11|61|officer
18040|Alice|Mills|sunflower13|62|officer
11226|Peter|Bell|leafbreeze2|63|officer
1097|Janet|Lawson|leafbreeze17|64|officer
4388|Kenneth|Olson|walnutstar20|65|officer
5051|Martha|Clark|cloudyday8|66|officer
1628|Shirley|Palmer|zebraice18|67|officer
4829|Patrick|Bryant|hazelnutsunshine17|68|officer
6140|Olga|Sanders|coconutfrost11|69|officer
1669|Sean|Greene|rabbitwind1|70|officer
596|Robert|Larson|lemonsleet19|71|officer
3282|Shirley|Garza|avocadohawk7|72|officer
11017|Bonnie|Torres|whalestorm3|73|officer
2281|Martha|Nichols|almondbreeze10|74|officer
3357|Peter|Williams|blueberryfreeze15|75|officer
2811|Emma|Gibson|bananacloud9|76|officer
19556|Darlene|King|applethunderstorm8|77|officer
14555|Sharon|Watkins|orangehurricane1|78|officer
10306|Deanna|Dixon|cashewrainbow20|79|officer
3826|Peter|Kennedy|blueberryfreeze6|80|officer
